    preflight: governor=performance thp=[always] mem_avail=14476MiB swap_used=433MiB gpu=17MiB,48,P8
  mmlu_pro/9228                BAD  788 tok  31.34 t/s stop
  mmlu_pro/2268                BAD  500 tok  30.09 t/s stop
  mmlu_pro/3166                ok   321 tok  30.39 t/s stop
  mmlu_pro/544                 ok   443 tok  32.03 t/s stop
  mmlu_pro/4030                ok   404 tok  32.47 t/s stop
  mmlu_pro/7524                ok   300 tok  31.33 t/s stop
  mmlu_pro/11860               BAD 2048 tok  30.83 t/s length
  mmlu_pro/6647                ok   302 tok  29.10 t/s stop
  mmlu_pro/4903                ok   108 tok  32.88 t/s stop
  mmlu_pro/1416                ok   418 tok  29.77 t/s stop
  mmlu_pro/8387                ok   288 tok  32.31 t/s stop
  mmlu_pro/5778                ok   315 tok  31.39 t/s stop
  mmlu_pro/10992               BAD  204 tok  32.10 t/s stop
  mmlu_pro/9248                ok   885 tok  31.23 t/s stop
  mmlu_pro/2288                ok   184 tok  30.92 t/s stop
  mmlu_pro/3186                ok   289 tok  30.36 t/s stop
  mmlu_pro/564                 ok   417 tok  30.07 t/s stop
  mmlu_pro/4050                ok  1098 tok  31.04 t/s stop
  mmlu_pro/7544                BAD  678 tok  32.09 t/s stop
  mmlu_pro/11881               BAD 2048 tok  31.03 t/s length
  mmlu_pro/6667                BAD  483 tok  31.10 t/s stop
  mmlu_pro/4923                ok   332 tok  29.72 t/s stop
  mmlu_pro/1438                ok   477 tok  30.13 t/s stop
  mmlu_pro/8407                ok   654 tok  32.98 t/s stop
  mmlu_pro/5799                ok   269 tok  31.34 t/s stop
  mmlu_pro/11013               ok   364 tok  31.11 t/s stop
  mmlu_pro/9268                ok   916 tok  32.79 t/s stop
  mmlu_pro/2308                ok   302 tok  31.13 t/s stop
  mmlu_pro/3206                ok   330 tok  31.59 t/s stop
  mmlu_pro/584                 BAD  733 tok  30.41 t/s stop
  mmlu_pro/4070                ok   303 tok  31.57 t/s stop
  mmlu_pro/7564                BAD  239 tok  31.70 t/s stop
  mmlu_pro/11901               ok  1670 tok  32.99 t/s stop
  mmlu_pro/6687                ok   283 tok  31.53 t/s stop
  mmlu_pro/4943                ok   216 tok  31.49 t/s stop
  mmlu_pro/1458                BAD 1333 tok  29.67 t/s stop
  mmlu_pro/8427                ok  1132 tok  31.50 t/s stop
  mmlu_pro/5820                ok   184 tok  30.12 t/s stop
  mmlu_pro/11034               ok   905 tok  30.13 t/s stop
  mmlu_pro/9288                ok   423 tok  31.14 t/s stop
  mmlu_pro/2328                ok   419 tok  29.31 t/s stop
  mmlu_pro/10073               BAD 2048 tok  31.59 t/s length
  mmlu_pro/10094               ok  1759 tok  33.08 t/s stop
  mmlu_pro/10115               ok   767 tok  31.70 t/s stop
  mmlu_pro/10136               ok   515 tok  31.33 t/s stop
  mmlu_pro/10156               ok   458 tok  31.18 t/s stop
QUALITY[g4_q3km_cache15_main] think=off | gsm8k  98.0% +- 2.0 (n=50) | humaneval  95.1% +- 3.4 (n=41) | mmlu_pro  81.4% +- 4.6 (n=70) | mean 364 tok, 31.7 t/s | truncated 5 | empty 0 | 2567s
    telemetry[qual_g4_q3km_cache15_main]: GPU util avg  86% max 100% | power avg  78W max 102W /100W | PCIe->GPU avg  2.85 max 13.23 GB/s (~13 cap) | CPU busy  494% of 1200% | DRAM read avg   9.9 max  15.3 GB/s (~38 cap)
    vram: 3554 MiB
MAINQUAL_DONE
